Intentional Serendipity: Corey Ford at TEDxUNC,34093
Extreme Push-up Fail!,29813
Laura Marling - My Manic & I,1255329
Wax:  "I Shoulda Tried Harder" (Official Music Video),1747518
Wax:  "We Can't All Be Heroes" (Official Music Video),1361147
Watsky- Strong as an Oak [Cardboard Castles],7262594
Macgregor (Wax & Herbal T)- Lost and Found,2857
MRR-ADM - 3hree,14495
Elder - The End,303905
Septic Flesh - Pyramid God (2011),434973
Ashes In The Snow - Mono,886543
Metallica: One (Official Music Video),186948085
Chicane feat. Blandine - What Am I Doing Here? (Walsh & McAuley Remix),231098
Chicane feat. Blandine - What Am I Doing Here? (Walsh & McAuley Remix),231098
Gymnopédie No.1 - Emile Pandolfi,143261
Bach Cello Suite No 3 Movement 1 // Rinat Ibragimov,455028
Duke Ellington -- Tang,7488
SOIL & "PIMP" SESSIONS "Summer Goddess",1611948
Real Estate - All The Same,66841
alt-J (∆) Breezeblocks,214763097
Real Estate - Its Real (Official Video),2228675
Lament I, "Bird's Lament" (audio) - Moondog,130185
Ominous Beats - (Just let your) Soul glo (Remix),261075
Monetrik - Blues Soup,54886
Mr Scruff and Quantic - It's Dancing Time,872550
Psycho Pass AMV [名前のない怪物],17479935
Art Garfunkel - 99 Miles To L A,315668
Death to Smoochy cookie scene,213145
Funny Moments of Nathan | Misfits Season 2,405501
Hoppipolla music video by Sigur Ros with lyrics,722990
L.A. Noire Soundtrack - Menu Theme [HQ],1843562
Red Hot Chili Peppers - Can't Stop (Official Music Video),136788098
Alanis Morissette - Everything (Video),6649288
Chester Bennington from Linkin Park- "The Messenger" (HD) Live at MusiCares 5-6-2011,178434
The Hard Way - Fort Minor (feat. Kenna),1086762
Foo Fighters - All My Life (Official Music Video),81170215
"Everything in its right place" music video,4131067
Moonlight Sonata,73366329
Missed Me - The Dresden Dolls,1258529
The Dresden Dolls 'Girl Anachronism' music video,4141082
Persona 3 Portable - Wipe All Out (Female Battle Theme),75584
BOA - I Did it For Love,1347402
Family guy makin fun of julian,37612
Dove Real Beauty Sketches  - Extended version,99450
One Direction - What Makes You Beautiful (Official Video),1204364825
Nyan Cat [original],183481973
..:: U.F.O. - Belladonna ::..,460717
Coldplay - Daylight,119741
Funny Indian Music Video,237701
Smooth Sax will be deployed in 3...2...1...,734366
Michou • "Growing Younger" Official Music Video,205445
Wisin & Yandel - Oye Donde Esta El Amor ft. Franco De Vita,49170527
The Big Lebowski "Maude's Art" Scene (Julianne Moore),84227
I am not Mr. Lebowski. You're Mr. Lebowski.,180615
Sleep - Dragonaut,61029
Wild At Heart - Lula & Sailor Car Scene + Wicked Game,92288
freelance whales    generator 1st floor,350493
Poor Huemul :(,99498
Cats Playing Patty-cake, what they were saying...,23088688
Port O'Brien I Woke Up Today Official Video,636107
Menomena - Weird,145847
Amanda Palmer - Idioteque (Radiohead Cover),120966
Zee Avi - Concrete Wall Lyrics,75374
The Black Keys - Lonely Boy [Official Music Video],123586647
Soundgarden - Pretty Noose (Official Music Video),10357284
Soundgarden - Burden In My Hand (Official Music Video),20482086
Endless Possibilities Full Version,1119333
Van Halen - Dreams,11378687
"Russian Unicorn" — a bad lip reading of Michael Bublé,10715833
Phantogram - Mouthful Of Diamonds,9513650
Fire spinning in Goa,828
Mariah Carey - I Stay In Love (Official Music Video),33978905
ISTJ vs ESTJ,35285
T-Model Ford - I'm Insane,118194
Junior Kimbrough Meet Me in the City,674650
Hold On Hope By Guided By Voices With Lyrics,713661
Evander Holyfield Tribute,815293
David Bowie - Subterraneans - Low,39892
Junior Kimbrough Meet Me in the City,674650
COMBUSTIBLE EDISON - Vertigogo,287118
Wild Billy Childish And The Buff Medways 'Medway Wheelers',112555
Pavement - Summer Babe (Winter Version),158699
Best Of Jill Hives,26552
William S. Burroughs plays drums vs. hop-frog vs. Phil Collins,4000
Pee Wee's Big Adventure - I'm a rebel,356277
Aneka - Japanese Boy,7200755
Kes (1969) - Original trailer,545792
My Morning Jacket - Blue Moon,91195
The Dark Knight Rises...And Then Falls Down.,70709
Kes (1969) - Original trailer,545792
Aladdin Riff Raft Street Rat (Perfect Cut),1045758
Teddy Has An Operation,39803623
Gaslamp Killer - Zalim,594785
Mark Mathis Fox Weather-Charlotte,NC,397714
Play Like Pinkie Pie,860509
Girls' Generation 소녀시대 'Gee' MV,261972418
PLURALITY,779004
Cloud Atlas Extended Trailer #1 (2012) - Tom Hanks, Halle Berry, Wachowski Movie HD,22240274
Louis CK on Bacon,46522
Baraka - Dead Can Dance - The Host Of Seraphim [HD - 1080p],1801502
Nickelback - How You Remind Me,483460013
You're My Best Friend Lyrics - Queen,4428967
The Lonely Island - I'm On A Boat (Explicit Version) ft. T-Pain (Official Video),64468685
Of Monsters and Men - Lakehouse,1833409
WALK THE MOON - Anna Sun (Official Video),26191893
Pokemon Theme Song 'Gotta Catch Em All' For Orchestra (iTunes link below!),400992
a message to all of our korean friends from josie and maria + birthday hyperness :'),245
Blue in Green by. Miles Davis,16483470
Steven Wilson - Luminol (from the Get All You Deserve Blu-Ray & DVD),1284488
How To Make a Taco,1740590
Avicii - 'Fade Into Darkness' (Official Vocal Edit),12995372
budgie with hat                 帽子をかぶったセキセイインコ,175330
きゃりーぱみゅぱみゅ - PONPONPON , Kyary Pamyu Pamyu - PONPONPON,168976687
"Calc." (Vocaloid) English Cover by Lizz Robinett,1358575
Bon Jovi - Because We Can,22913735
Tim Bendzko - Nur noch kurz die Welt retten (live),4393679
Newton Faulkner - Gone in the morning (Lyrics),235441
Newton Faulkner - Gone in the morning (Lyrics),235441
Laura Marling - A Creature I Don't Know,530550
Adele - Someone Like You (Live in Her Home),108466231
The 9 Enneagram Types at a Party,124658
Josh Gabriel presents Winter Kills - Deep Down (Official Music Video) [High Quality],740312
Christina Perri - The Lonely [Official Lyric Video],38322766
Owl City - Fireflies (Official Video),377221055
CASA DEL MIRTO:BROTHER,3576
4.- Green Day- ¡Viva La Gloria! [Lyrics] [HQ],2111640
Beethoven 3rd Symphony (1/5); 1st movement; Bernstein,697155
Flight of the Conchords Ep 5 Business Time,881350
What Am I To You,1092
Memphis May Fire - Miles Away (Feat. Kellin Quinn) (Official Lyric Video),8425527
Apoptygma Berzerk - You Keep Me From Breaking Apart (Implant mix),6468
Major Lazer Feat Ricky Blaze & Nina Sky - Keep It Going Louder (with lyrics),24141
N.A.S.A. - Gifted (feat. Kanye West, Santogold, & Lykke Li) [Official Music Video],3453838
William Fitzsimmons - "Everything Has Changed",941104
Ray LaMontagne - You Are The Best Thing,22398074
Crystal Castles - Not In Love ft. Robert Smith of The Cure,26445710
Jennifer Lucas - Take On Higher,190135
【巡音ルカ】最後の涙が辿り着く場所は・・・【ルカオリジナル曲】,3133
Conscious Evolution-by Donna the Buffalo - 11/17/06,29656
Morphine - Cure for Pain,1711948
The Best of Troll 2,833287
Tera Melos - Sunburn,24194
American Football - Never Meant,1782655
Foxy Shazam - I Like It,2791753
THE WAYSEER MANIFESTO - [Official Video] (HQ),2141820
Never seen again - Michael Davidson,685
Never seen again - Michael Davidson,685
Corrosion Of Conformity - Drowning In a Daydream,1290186
Steven Wilson - Index (from Grace for Drowning),389369
Drumcorps - Grist.wmv,60112
Telefon Tel Aviv - Sound In a Dark Room,1218193
No Money & Uman - Requiem,10105
REMEMBER THE 90'S - Dance Mix !,517001
2AM (투에이엠) - I Was Wrong (잘못했어) 10.03.26,449703
Olivia Newton-John - Physical (Official Video),27793460
THROWDOWN - Baby Got back,1057821
Fiona Apple - "Across The Universe",7554703
muse - feeling good,2073879
Mark Ruff Ryder & Mc Vapour video. move your body (school rap) ukunderground  strictly underground,76362
microKORG XL,488124
He Is We- Prove You Wrong,810460
All Around The World—Open Up Your Heart...Forever United!,112258
Symphony of Science - 'We Are All Connected' (ft. Sagan, Feynman, deGrasse Tyson & Bill Nye),8173175
Sick Muse [Official Music Video - HD] - METRIC,7095466
Jeff Buckley - Hallelujah (Official Video),168986455
Imogen Heap - Hide And Seek (Official Video),29117944
U2 - Beautiful Day (Official Music Video),147135352
B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],560553769
OneRepublic - Feel Again (Official Music Video),44741064
Mumford & Sons - The Cave,17578295
The Fray - Heartbeat (Official Video),12321150
Tyler, The Creator Interview with Pitchfork! HD,439454
Boulevard of Broken Dreams, Asia, Extra Interview,14967
Nirvana Lithium-Lyrics,15734497
An Idiot Abroad - Ricky Gervais laughing,1473342
KORPIKLAANI - Vodka (OFFICIAL VIDEO),37658555
Halloween Scare Prank,4616374
Boot leg fireworks gone wrong,844618
Puerto Rico 2005,268
Laughing Samoan 3-Off Work,587188
streetlight manifesto lyrics-point/counterpoint,286989
B.O.B - Nothin On You Official Video Cover,1802712
Tammy Wynette-Stand By Your Man (60's),1606997
Mike Mains & the Branches - Life,28730
Turnabout Jazz Soul - Track 8 - Godot - The Fragrance of Dark Coffee,9824741
Blutengel - Reich mir die Hand (Official Music Video),21630438
Teenage Jesus and the Jerks - My Eyes,66388
The Saga of Sydney Spacepig by Jefferson Airplane,10962
RUN DMC - It's Tricky (Official Video),70186695
Phantom of the Opera,23059457
Zappa's Universe "Heavenly Bank Account" Rockapella,25813
Amon Düül II - Phallus Dei,81433
You and Me - Alice Cooper,967220
Better Now - Collective Soul,826780
Queen - I Can't Live With You (1991),506711
Marla 3,63697
Fightclub- I'm Jack's Colon,22446
Teo Torriatte(Let Us Cling Together) Queen live at Japan,694642
Joseph Fritzl. A Man, A Vision, A Tribute.,113646
James Blake - To Care,255243
James Blake - Limit To Your Love (Official Video),25945959
CocoRosie - Lemonade (OFFICIAL VIDEO),12561348
Nujabes - Kumomi,155158
Nujabes- Mystline [Full Version],5127377
FUGEES "Nappy heads (Mona Lisa)",372402
Itch with a B.,714917
Kenji - Fort Minor,3067113
Fat Jon - How you Feel,1974570
Lady Gaga - Applause (Official Music Video),370646636
A Good One - "After The Rain",584849
Unstoppable - Motivational Video,17358958
Suzanne Vega: Undertow - Budapest, 2009,8128
Suzanne Vega: Undertow - Budapest, 2009,8128
Kimberly Cole Dance Audition (Keith Apicary),6003519
Ghostbusters Stay Puft Man,6114200
Voltaire- BRAINS!,575077
Voltaire - The Chosen,164333
Daisy - Brand New,58890
Counting Crows - Perfect Blue Buildings,1561885
Joanna Newsom - Walnut Whales (Full EP),134432
CSS - City Grrrl,68689
Baby Elephant Walk,1083334
Baby Elephant Walk,1083334
Heart - What About Love? (Official Music Video),38152890
Reel Big Fish - Sell Out,1820022
Freestyle Fellowship - When The Sun Took A Day Off And The Moon Stood Still,217842
Freestyle Fellowship,18890
Dir en Grey - Diabolos,453093
Krallice - Dimensional Bleedthrough - HD,61813
Dir en Grey - Hageshisa To, Kono Mune No Naka De Karamitsuita Shakunetsu No Yami,238590
Sleeper Agent-Celabrasion-04.Love Blood,48095
Muse - Unnatural Selection,7074360
Mononoke Hime - Imaginary Flying Machines,63528
Lykke Li - Love Out Of Lust,3829415
Lykke Li - I Follow Rivers (Director: Tarik Saleh),73239444
Best Coast "When I'm With You",2655758
Through Tears Of Joy- Orchestra Lunatica  (The Losers 2010),172734
School of Seven Bells - "Half Asleep",1189940
Wicked Games - (The weeknd cover) - Cœur de Pirate,1237059
Subset   She Never Sleeps,17679
Life Goes On - Tupac,130549095
The Intouchables Official Trailer #1 (2012) HD Movie,6444906
Spandau Ballet - True,148238817
Chris Brown - Fine China (Official Music Video),89189579
Usher - Burn (Official Music Video),229410042
Usher, Alicia Keys - My Boo (Official Music Video),136666626
Keyshia Cole - Playa Cardz Right ft. 2Pac (Official Video),24011445
Rihanna - We Ride,80482419
2pac- Fame,3839523
"At Seventeen" by Janis Ian {lyrics},1400611
The Myrrors - Warpainting,5686124
Lenny Kravitz - It Ain't Over Til It's Over (Official Music Video),35311621
Fiona Apple - Criminal (Official Video),35408223
Fiona Apple - Every Single Night (Official Video),5506916
Michael Jackson - Smooth Criminal (Official Video - Shortened Version),84182842
kiss - Christine sixteen (Love gun),842206
DRAW MY LIFE - Laci Green,1037013
RSA ANIMATE: The Empathic Civilisation,3146224
Barton Hollow | The Civil Wars | OFFICIAL MUSIC VIDEO | [HD],2831710
korean drummer rocks out,1093335
Korean Drummer - Freestyle,32552
SPAWN OF POSSESSION - "Where Angels Go Demons Follow",169360
'Til Tuesday - Voices Carry (Official Video),18966328
edie brickell - what i am,1266808
Blue October - Dirt Room,3965851
Theory of a Deadman - Bad Girlfriend [OFFICIAL VIDEO],9029069
God Is An Astronaut - Darkfall,145730
Die Ärzte wie es geht,3811091
Staind - Believe (Official Music Video),3968568
To the Moon and Back (Shepard & Garrus romance story),16654
Uzi Lover,226697
The Greatest Speech Ever Made,16851769
married myself (Jam S1E01),26887
Shugo Tokumaru (トクマルシューゴ) - Lahaha (Official Music Video),156772
ｲﾝｺくん迫真のモノマネ.mp4,2442430
The Stranger Billy Joel,4214165
Coldplay-Yellow-Lyrics,24975582
Waiting - Green Day (Official Music Video)  [HQ],2756827
Total Eclipse of The Heart Cover,923
Dance of The Eyeballs,4787
Moondance (With Piano),1436
Draw with Me,4487264
Lisa Mitchell - Neopolitan Dreams (Sound Remedy Remix) [Dubstep] [HD] [Free-DL],119255
Angry Hamster,95968
Korn 'Narcissistic Cannibal (feat Skrillex and Kill the Noise)',11765620
Peek-A-Boo Chinchilla,286115
Keirsey Personality Types: Portrait of an Idealist (ENFP, INFP, ENFJ, INFJ),78863
Sailor Moon Classic Speech,22025
Chaplins Time Traveler,6940775
All About Halifax,2059141
B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],560555091
SoJam 2011 Collegiate Competition - Acappology,3356
Bob Dylan - Tangled Up In Blue (Video),24766397
John Mayer - XO (Official Audio),15389713
The Pains of Being Pure at Heart - Young Adult Friction - (3 of 10),140934
Coldplay - Lovers In Japan (Official Video),23626032
Admiral Fallow - The Paper Trench [Official Music Video],237609
Snow Patrol - How to be Dead,1143223
The Mountain Goats - Up The Wolves,913777
Korn - Falling Away from Me (Official Music Video),100856021
Pendulum - I'm Not alone (Live),1681244
Red Hot Chili Peppers - Don't Forget Me (Live at Slane Castle),1449901
Radiohead - Up On The Ladder [In Rainbows Disc 2],365886
Radiohead - Up On The Ladder [In Rainbows Disc 2],365886
Snow Patrol - Chasing Cars (Official Video),247084237
Snow Patrol - Hands Open (Visualiser),1496055
Snow Patrol - Run (Official Video),42397143
Way Back When - Kodaline [In A Perfect World],770160
Soul Asylum - Runaway Train (Official Video),148278946
Enter Shikari - Sssnakepit (Official Music Video),1967668
Enter Shikari - Sssnakepit (Official Music Video),1967668
Nine Inch Nails - Came Back Haunted,6298239
Thirty Seconds To Mars - ATTACK,20630677
Rise Against - The Art of Losing,147637
Ben Nichols - The Last Pale Light In The West,2800481
Fightstar Amaze Us,22020
Red Hot Chili Peppers - Scar Tissue [Official Music Video],311312753
Mumford & Sons - The Cave,35458168
Al Green - Let's Stay Together,180476407
public enemy - he got game ( HQ ),3370421
T-Bag 80's tv series,62070
Lisa Hannigan - I Don't Know,3662030
Under Pressure,13004329
Luke O'Dell Introvert Extrovert (original),400189
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),1499554458
Jalan Jalan - Lotus (Dragon Hunters),482287
Black Tape for a Blue Girl - A Livery of Bachelors,10951
Rumi Poems,164898
Dark Sanctuary Summoning Of The Muse,37683
Totally Enormous Extinct Dinosaurs - Garden (Original Video),2828065
Gyptian - Love Against The Wall,985360
Single Again - Trina,602784
Nero - Crush On You,19229063
Magnetic Man Ft. Katy B - Crossover,750678
Florence + The Machine - Cosmic Love,63709612
Million Stylez - Miss Fatty,37728672
Beenie Man - Swing Eh Weh,489112
Cover Tune Grab Bag - "Ob-La-Di, Ob-La-Da",3922948
Party rock Cantina Band,4641670
A Great Big World - I Really Want It (Lyric Video),1926824
Eagles Are Turning People Into Horses: The Movie,1341389
Balls Of Steel - Neg's Urban Sports - Knock And Don't Run,5831277
Mouthmusic, Seinn O,10605
Corinne Bailey Rae......Breathless,679421
REV UP THOSE GODDAMN FRYERS,828413
Port Blue Setting Sail,203789
Look Away-Thousand Foot Krutch,30442
Everything by Lifehouse,42509775
KMFDM - Mysterious Ways (U2 Cover),73278
Groovefinder Vs Nina Simone - Ain't Got No (I Got Life),215666
