ScHoolboy Q - Man Of The Year,ScHoolboy Q,hip hop
My Favorite Things - Sound of Music,Original Soundtrack,other
Chopin Nocturne Op.9 No.2 (Arthur Rubinstein),Frédéric Chopin,classic
Radiohead - Creep,Radiohead,rock
Motion City Soundtrack - Everything Is Alright,Motion City Soundtrack,rock
George Michael - One More Try,George Michael,rock
Reel Big Fish: Cheer Up!,Reel Big Fish,rock
Rev Theory-Far From Over,Rev Theory,rock
Dido - Everything To Lose (Armin van Buuren Remix),Dido,pop
Moonlight Sonata,Various Artists,other
Aloe Blacc - Green Lights,Aloe Blacc,pop
Julieta Venegas - Sueño de Sombras,Julieta Venegas,pop
Rihanna - We Found Love ft. Calvin Harris,Claudia Aurora,other
Bob Marley - One Love,Bob Marley & The Wailers,r&b
Buena Vista Social Club-Chan Chan,Buena Vista Social Club,jazz
Major Lazer - Mary Jane,Major Lazer,pop
Soundgarden- Mailman,Soundgarden,rock
Susie Suh - All I Want,Susie Suh,pop
Susie Suh - Light On My Shoulder,Susie Suh,pop
Be Honest - Jason Mraz,Jason Mraz,pop
the Fratellis - Chelsea Dagger,The Fratellis,rock
Edward Sharpe and the Magnetic Zeros - Simplest Love,Edward Sharpe & The Magnetic Zeros,folk
Deadmau5 - Ghosts n Stuff,deadmau5,electronic
The Cardigans - My Favourite Game,The Cardigans,pop
Genres:
rock,7
hip hop,1
pop,8
electronic,1
r&b,1
dance,0
folk,1
jazz,1
classic,1
soundtrack,0
other,3
