KONGOS - I'm Only Joking,KONGOS,rock
Nick Drake- Riverman,Nigel Kennedy,pop
Leonard Cohen: The Stranger Song,Leonard Cohen,rock
Bill Evans "Peace Piece",Bill Evans,jazz
notwist - consequence,The Notwist,electronic
Ultravox - One Small Day,Ultravox,rock
Fever Ray 'Keep The Streets Empty For Me',Fever Ray,dance
Sublime - Caress Me Down,Sublime,r&b
Idoli - Maljciki,Idoli,rock
pink floyd jugband blues,Pink Floyd,rock
The European Union (anthem),Jan Kučera,other
Richard Wagner - The ride of the Valkyries from "Die Walküre",Various Artists,other
Sherry Frankie Valli and the Four Seasons,Frankie Valli & The Four Seasons,pop
Bob Marley - Stir it up,Bob Marley & The Wailers,r&b
Spose - I'm Awesome,Spose,hip hop
My Morning Jacket - Wordless Chorus,My Morning Jacket,rock
A Song About Love,Meltycanon,other
AWOLNATION - Sail,AWOLNATION,rock
Skrillex - Reptile,Skrillex,electronic
Beck - Loser,Beck,rock
The Weeknd - High For This,The Weeknd,r&b
TAN BIONICA - Arruinarse,Tan Bionica,rock
Radiohead - Paranoid Android,Radiohead,rock
Silverstein - Call It Karma (acoustic),Silverstein,rock
Steeleye Span - Drink Down The Moon,Steeleye Span,folk
Violent Femmes -- Kiss Off,Violent Femmes,rock
Antibalas - Che Che Cole (Makossa),Various Artists,other
system of a down-vicinity of obscenity,System Of A Down,rock
Gorillaz-All Alone,Gorillaz,hip hop
Please Don't Bury Me John Prine,John Prine,rock
Metallica - Whiskey in the jar,Metallica,rock
Imagine Dragons - It's Time,Imagine Dragons,rock
Kai Straw - Flower Child,Kai Straw,other
Igorrr - Tendon,Igorrr,rock
Dev - Fireball,DEV,pop
The Winstons - Amen Brother,The Winstons,other
Desert Rose - Eric Johnson,Eric Johnson,rock
Superchick - Rock What You Got,Superchick,rock
Television Personalities - Geoffrey Ingram,Television Personalities,rock
Brains! - Voltaire,Aurelio Voltaire,pop
Geto Boys - Damn It Feels Good To Be A Gangsta,Geto Boys,hip hop
Silversun Pickups - The Royal We,Silversun Pickups,rock
Silversun Pickups - "Kissing Families",Silversun Pickups,rock
The Doors - People are Strange,The Doors,rock
Mono - Halo,So Hee Song,other
J.S.Bach (Arr.Rachmaninov) - Partita BWV1006,Sergei Rachmaninoff,classic
Cage The Elephant - Shake Me Down,Cage The Elephant,rock
Genres:
rock,24
hip hop,3
pop,4
electronic,2
r&b,3
dance,1
folk,1
jazz,1
classic,1
soundtrack,0
other,7
