Flyleaf - Missing,Flyleaf,rock
ZZ Ward - Last Love Song,ZZ Ward,rock
alt-J (∆) Breezeblocks,alt-J,rock
Cassadee Pope-Told You So,Cassadee Pope,pop
I SEE STARS - Filth Friends Unite,I See Stars,rock
Further Seems Forever - Pride War,Further Seems Forever,rock
Belle & Sebastian  Piazza New York Catcher,Belle & Sebastian,rock
Marc Almond - The Days Of Pearly Spencer,Marc Almond,rock
Balam Acab - Big Boy,Balam Acab,dance
Harana - Parokya Ni Edgar,Parokya Ni Edgar,r&b
Bon Iver - Skinny Love,Bon Iver,folk
OneRepublic - It's a Shame,OneRepublic,pop
Los Campesinos! - By Your Hand,Los Campesinos!,folk
The Birthday Party- Big Jesus Trash Can,The Birthday Party,rock
Sarah Jaffe: When You Rest,Sarah Jaffe,pop
Hammock - Breathturn,Hammock,hip hop
Nine Inch Nails - La Mer,Nine Inch Nails,rock
Deep Purple - Hush,Deep Purple,rock
Deep Purple - Hush,Deep Purple,rock
Dead Angels,Donny Drowns,other
"Danny's Song"   Loggins and Messina,Loggins & Messina,rock
Jakewolf I Like Blondes,Jakewolf,pop
Katatonia - Unfurl,Katatonia,rock
Times of Grace  -  Fall From Grace,Times Of Grace,rock
People Ain't No Good,Nick Cave & The Bad Seeds,rock
reservoir dogs (stuck in the middle with you),Various Artists,other
Art,Call Me Karizma,hip hop
請假裝你會捨不得我   蔡琴,Tsai Chin,pop
The Mamas & The Papas - Monday Monday,The Mamas & The Papas,pop
Strapping Young Lad - All Hail The New Flesh,Strapping Young Lad,rock
Erik Satie - Gnossiennes No.1,Erik Satie,classic
Fields of the Nephilim - Sumerland,Fields Of The Nephilim,rock
The Light Before We Land,The Delgados,pop
Iron & Wine - Each Coming Night,Iron & Wine,pop
Light My Fire - The Doors In Concert,The Doors,rock
Nico- These Days,Nico,rock
Broken Heart - Spiritualized,Spiritualized,rock
Clancy Brothers - Beer beer beer,The Clancy Brothers,folk
Smiling Ear to Ear,blink-182,rock
Wild Wild West - The Escape Club,The Escape Club,other
Leonard Cohen - Dance Me to the End Of Love,Leonard Cohen,rock
Alice In Chains - Love Hate Love,Alice In Chains,rock
Raining in Baltimore,Counting Crows,rock
Raising The Fawn,Zac Brown,other
Dean Brody - Up on the moon,Dean Brody,rock
Joe Nichols The Shape Im In,Joe Nichols,rock
Strawberry Switchblade -- Since Yesterday,Strawberry Switchblade,rock
David Gray - Say hello wave goodbye,David Gray,rock
The Maccabees - First Love,The Maccabees,dance
waltz #2,Elliott Smith,rock
The Antlers - Wake,The Antlers,pop
La Dispute - Such Small Hands,La Dispute,hip hop
Oh Land - "Sun Of A Gun" (LIVE!!!),Oh Land,pop
Lights - Heavy Rope (Acoustic),Lights,folk
Chevelle- Piñata (Hats Off to the Bull),Chevelle,rock
Alpines - Cocoon,Alpines,pop
Stay Awake Julia Nunes,Julia Nunes,pop
The Naked And Famous - Hearts Like Ours,The Naked And Famous,dance
Noah And The Whale - Lifetime,Noah And The Whale,pop
Chvrches - "Recover",CHVRCHES,pop
The Naked And Famous - Young Blood,The Naked And Famous,dance
New Found Glory - "Don't Let Her Pull You Down",New Found Glory,rock
My Chemical Romance - "Welcome to the Black Parade",My Chemical Romance,rock
The One That Got Away- Hey Monday,Hey Monday,pop
Hey Monday - Candles,Hey Monday,pop
New Found Glory- Crazy For You,New Found Glory,rock
Explosions in the Sky - Your Hand in Mine,Explosions In The Sky,rock
God Is an Astronaut - A Deafening Distance,God Is An Astronaut,rock
Digital Daggers - Still Here,Digital Daggers,pop
Lord of The Rings - May it be,Matthias Keller,other
f5.3gp,Amsterdam Loeki Stardust Quartet,classic
Explosions in the Sky - First Breath After Coma,Explosions In The Sky,rock
Regina Spektor - The Noise,Regina Spektor,pop
Pat Monahan - Great Escape,Pat Monahan,pop
Taylor Swift - Mine,Taylor Swift,pop
If It Kills Me - Jason Mraz,Jason Mraz,pop
Dierks Bentley - Soon As You Can,Dierks Bentley,rock
We The Kings - Skyway Avenue,We The Kings,rock
Death of Aase from Peer Gynt,Edvard Grieg,classic
Social Distortion - Story of My Life,Social Distortion,rock
John Mayer - Friends Lovers Or Nothing,John Mayer,pop
The Drones - Jezebel,The Drones,rock
Mazzy Star - Look On Down From The Bridge,Mazzy Star,rock
Return Of The She-King - Dead Can Dance,Dead Can Dance,folk
Autechre - 444,Autechre,electronic
Muse- Stockholm Syndrome,Muse,rock
Muse - Hysteria,Muse,rock
Stripped - RAMMSTEIN,Rammstein,rock
Virtual Symmetry-V.S.,LiquidLight,other
Aphex Twin - Heliosphan,Aphex Twin,dance
State Radio - Indian Moon,Chadwick Stokes,rock
This Mortal Coil - another day,This Mortal Coil,pop
Oh Well Okay,Monte Booker,hip hop
Tom Waits - Tom Traubert's Blues (Four Sheets to the Wind in Copenhagen),Tom Waits,folk
Velvet Waltz-Built to Spill,Built To Spill,rock
Stereophonics - Pick A Part That's New,Stereophonics,pop
Matchbox Twenty - The Difference,Matchbox Twenty,rock
Porcupine Tree - Arriving Somewhere But Not Here (Live),Porcupine Tree,rock
Ratatat -Nostrand,Ratatat,dance
Muse - Undisclosed Desires,Muse,rock
Lhasa de Sela - fool´s  gold.,Lhasa De Sela,pop
Fall Out Boy - I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You),Fall Out Boy,rock
Pet Shop Boys -  The Way It Used To Be,Pet Shop Boys,pop
Pet Shop Boys -  Vulnerable,Pet Shop Boys,pop
Big Bad Voodoo Daddy - Jumpin' Jack,Big Bad Voodoo Daddy,electronic
Minnie The Moocher - Big Bad Voodoo Daddy,Big Bad Voodoo Daddy,electronic
Pet Shop Boys -  Vulnerable,Pet Shop Boys,pop
Kaskade Don't Wait,Kaskade,dance
Ozric Tentacles - Sploosh!,Ozric Tentacles,rock
The Adults - Nothing To Lose,The Adults,other
The Vines - 1969,The Vines,rock
Soft machine - Out of Season,Soft Machine,rock
Foo Fighters. Walk.,Foo Fighters,rock
Little Dragon - Precious,Little Dragon,dance
