Muse - Take A Bow,Muse,rock
the joy formidable 9669,The Joy Formidable,rock
We Are Scientists - After Hours,We Are Scientists,dance
Tom Scott - Today,Tom Scott,jazz
Ashlee Simpson - Outta My Head (Ay Ya Ya),Ashlee Simpson,pop
Rings Of Saturn - Embryonic Anomaly,Rings of Saturn,rock
Thy Art Is Murder - Infinite Death - Whore To A Chainsaw,Thy Art Is Murder,rock
Rammstein - Sonne,Rammstein,rock
Relient K- Be My Escape,Relient K,rock
Alex Clare - Too Close,Alex Clare,rock
Sia - Be Good To Me,Sia,dance
Death Grips - Whammy,Death Grips,hip hop
Sixx: A.M. - This is Gonna Hurt,Sixx:A.M.,rock
The Kooks - Seaside,The Kooks,rock
Taylor Swift - We Are Never Ever Getting Back Together,Taylor Swift,pop
Flyleaf - All Around Me,Flyleaf,rock
Morandi - Colors,Morandi,pop
Music Instructor - Super Sonic,Various Artists,other
The Velvet Underground-Sunday Morning,The Velvet Underground,rock
Come To Daddy,Aphex Twin,dance
Rise Against - But Tonight We Dance,Rise Against,rock
'Blood' The Middle East,The Middle East,folk
Arthur Rubinstein - Chopin Nocturne Op. 9 No. 1 in B flat,Frédéric Chopin,classic
Wagner - Götterdämmerung - Hoi-ho! - Bayreuth Festival,Richard Wagner,classic
Crypt - Why,Jay Sean,pop
The Vaselines-Son Of a Gun,The Vaselines,rock
Mystery Jets - Two Doors Down,Mystery Jets,dance
Rebecca Black - Friday,Rebecca Black,pop
Lana Del Rey - Blue Jeans (RAC Remix),Lana Del Rey,pop
Tchaikovsky - The Nutcracker - Dance Of The Reed Pipes,Berliner Philharmoniker,classic
Peter Gabriel - Here Comes The Flood,Peter Gabriel,rock
Celine Dion My Heart Will Go On,Céline Dion,pop
Magazine - Permafrost (Secondhand Daylight),Magazine,rock
Beach Boys- I get Around,The Beach Boys,pop
Buddy Holly - Everyday,Buddy Holly,pop
Seven Days,Various Artists,other
Tyler The Creator - Yonkers,Tyler, The Creator,hip hop
Fiona Apple - The First Taste,Fiona Apple,pop
Stina Nordenstam 'Get On With Your Life',Stina Nordenstam,pop
James - Born Of Frustration,James,pop
UB40 - C'est La Vie,UB40,r&b
A.L.- Lyrics,Talib Kweli,hip hop
Neon Indian - Polish Girl,Neon Indian,dance
Jon Hopkins - A Drifting Up,Jon Hopkins,electronic
beverly hills cop theme song (Axel f),Various Artists,other
Lorn - No Safety On A Body,Lorn,hip hop
Massive Attack - Paradise Circus,Massive Attack,electronic
BOB MARLEY THREE LITTLE BIRDS,Bob Marley & The Wailers,r&b
4 Hero Escape That,4hero,jazz
Goldie - Timeless,Goldie,electronic
Band of Brothers - Beethoven String Quartet in C-sharp minor,Michael Kamen,classic
Samba da Benção／Bebel Gilberto,Bebel Gilberto,jazz
I'm Yours(ukulele),Acoustic Guitar Revival,other
Wondrous Nights,Piano Lounge Smooth Jazz,jazz
Slowdive - Crazy for You,Slowdive,rock
Kryptic Minds - Can't Sleep,Kryptic Minds,dance
Primal Scream - Velocity Girl,Various Artists,other
10. No Surprises,100 Miles,other
Two Steps From Hell - Protectors of the Earth,Two Steps from Hell,soundtrack
Celldweller - The Last Firstborn,Celldweller,rock
The Bus Ride *original*,Alan Silvestri,soundtrack
Pink Floyd - Wish You Were Here,Pink Floyd,rock
Straight No Chaser,Thelonious Monk,jazz
Feist - Honey Honey,Feist,pop
Lene Lovich   Ghost Story,Lene Lovich,rock
Fiona Apple - Love ridden,Fiona Apple,pop
Poison Lips - Vitalic,Vitalic,dance
Young Marble Giants - N.I.T.A,Young Marble Giants,rock
Flying Lotus - MmmHmm,Flying Lotus,hip hop
Editors - I Want A Forest,Editors,dance
Ensiferum - Ferrum Aeternum,Ensiferum,rock
Michael - Red House Painters,Red House Painters,rock
Fever Ray 'When I Grow Up',Fever Ray,dance
Unexpect- Feasting Fools,Unexpect,rock
The Faint - "The Geeks Were Right",The Faint,dance
Jellybelly - Smashing Pumpkins,The Smashing Pumpkins,rock
