Motion City Soundtrack - My Favorite Accident,Motion City Soundtrack,rock
Down - Bury Me In Smoke (Live),DOWN,rock
Missing - Evanescence,Evanescence,rock
Dr Seuss VS Shakespeare.  Epic Rap Battles of History,Epic Rap Battles of History,pop
Skrillex - Scary Monsters and Nice Sprites (Dirtyphonics Remix),Skrillex,electronic
John Legend- PDA (We Just Don't Care),John Legend,jazz
Dinah Washington - This Bitter Earth,Dinah Washington,jazz
Nighttime,Russ,hip hop
Ashley MacIsaac - Sleepy Maggie,Ashley MacIsaac,folk
My Bloody Valentine - When You Sleep,My Bloody Valentine,rock
kyoteizinc (video mix),Omodaka,pop
♫ Last Carnival,Monsta X,pop
Y Society - Dizzy,Various Artists,other
The Beautiful Girls - La Mar,Edward Sharpe & The Magnetic Zeros,folk
To the moon - for river (Piano version),Kan Gao,other
Recoil - Want,Recoil,other
The Feeling - Sewn,The Feeling,rock
Beacon - Bring You Back,Beacon,pop
Grimes - Genesis,Grimes,pop
20th Century Boy,T. Rex,rock
Soundgarden - Fell On Black Days,Soundgarden,rock
Nightwish - The Islander,Nightwish,rock
Megadeth - Train Of Consequences,Megadeth,rock
City and Colour - Little Hell,City and Colour,folk
NAT KING COLE-The Very Thought of You,Nat King Cole,jazz
The Avett Brothers - Love Like the Movies,The Avett Brothers,folk
Lupe Fiasco- Bitch Bad,Lupe Fiasco,hip hop
Chopin Nocturne Op. 9 No. 1 in B-flat Minor (Arthur Rubinstein),Frédéric Chopin,classic
Little Person (Synecdoche New York),Jon Brion,soundtrack
Max Richter - The Nature of Daylight,Max Richter,soundtrack
Passion Pit - Smile Upon Me,Passion Pit,dance
Across The Ocean - Azure Ray,Azure Ray,pop
Daughter - Youth,Daughter,pop
Billy Joel- She's got a way,Billy Joel,rock
In A Big Country by Big Country,Down By Law,rock
Shivaree - The Snake,Father Moon,other
Jill Scott - Golden,Jill Scott,hip hop
Editors - No Sound But The Wind (Live at Rock Werchter 2010),Editors,dance
Sum 41 - With Me,Sum 41,rock
OPETH- PORCELAIN HEART,Opeth,rock
Biffy Clyro - God And Satan,Biffy Clyro,rock
A Fine Frenzy - Electric Twist,A Fine Frenzy,pop
Azure Ray - November,Azure Ray,pop
Leonard Cohen - famous blue raincoat,Leonard Cohen,rock
Biffy Clyro - God And Satan,Biffy Clyro,rock
Chopin Nocturne op.9  no.1,Frédéric Chopin,classic
Kid CuDi CuDi Zone,Kid Cudi,hip hop
Mr. Prjoectile - I am back (Bassnectar Remix),Bassnectar,electronic
Serj Tankian - Honking Antelope,Serj Tankian,rock
Kid CuDi Pursuit Of Happiness,Kid Cudi,hip hop
Eliza Doolittle - Missing,Various Artists,other
Bob Marley - One Love,Bob Marley & The Wailers,r&b
atb - ecstasy,ATB,dance
Sexion d'assaut - Désolé,Sexion D'Assaut,hip hop
SKRILLEX - KILL EVERYBODY (BARE NOIZE REMIX),Skrillex,electronic
Iyeoka - The Yellow Brick Road Song,Iyeoka,other
Tycho - Daydream,Tycho,dance
Emery - Walls,Emery,rock
EELS - Trouble With Dreams,Eels,rock
The National - A Reasonable Man (I Don't Mind),The National,rock
Regina Spektor - The Calculation,Regina Spektor,pop
Kimbra - "Settle Down",Kimbra,pop
Anberlin - Fin,Anberlin,rock
Sleeping At Last - Slow & Steady,Sleeping At Last,hip hop
Peter Bradley Adams-The Longer I Run,Peter Bradley Adams,pop
Gavin DeGraw - Not Over You,Gavin DeGraw,pop
THERE'S HOPE,India.Arie,jazz
Genres:
rock,21
hip hop,7
pop,13
electronic,3
r&b,1
dance,4
folk,4
jazz,4
classic,2
soundtrack,2
other,6
