Sweet Dreams - Steve Angello Remix,Eurythmics,rock
Alice In Chains - Love Hate Love,Alice In Chains,rock
Punch Brothers - This is the Song,Punch Brothers,folk
Electronik supersonic,Zlad!,other
Massive Attack - Inertia Creeps,Massive Attack,electronic
Peter Gabriel ~ My Body is a Cage (Oxford London Temple Version),Peter Gabriel,rock
Clint Eastwood - Gorillaz,Gorillaz,hip hop
perfect circle-imagine,A Perfect Circle,rock
A Perfect Circle - Passive,A Perfect Circle,rock
Suzanne Vega - The Queen and The Soldier,Suzanne Vega,folk
Bright Eyes - At The Bottom Of Everything,Bright Eyes,folk
PJ Harvey - Man-Size,PJ Harvey,rock
Sublime - Mary,Sublime,r&b
Extraordinary Machine,Fiona Apple,pop
The Wombats - Tokyo (Vampires & Wolves),The Wombats,rock
Towers - Bon Iver,Bon Iver,folk
Chelsea Wolfe,Chelsea Wolfe,pop
Zero 7 - Everything Up (Zizou) [Joker & Ginz Remix],Zero 7,electronic
Jesu - Silver,Kirk Franklin,r&b
Tim Hecker - Dungeoneering,Tim Hecker,pop
Netsky - Memory Lane,Various Artists,other
B-Complex - its a funny world,B-complex,electronic
The Supremes-You Keep Me Hangin' On,The Supremes,pop
Incubus - Drive,Incubus,rock
MONO - Life In Mono,Various Artists,other
Kerli - Walking On Air,Kerli,pop
Grant Green - We've Only Just Begun,Grant Green,jazz
Ravel: Miroirs III. Une Barque sur L'Ocean (André Laplante),Maurice Ravel,classic
Dante's Prayer,Loreena McKennitt,folk
The Forbidden Kingdom - Two Tigers - Two Masters,David Buckley,soundtrack
Hans Zimmer - A Way of Life,Hans Zimmer,soundtrack
The Crystal Method - Bound Too Long,The Crystal Method,electronic
Zomby - Natalia's Song,Zomby,dance
Eluvium - Reciting the Airships,Eluvium,classic
deadmau5 - Raise Your Weapon,deadmau5,electronic
Depeche Mode - In Sympathy,Depeche Mode,rock
Black Light Burns - New Hunger,Black Light Burns,rock
Combichrist - Can't change the beat,Combichrist,electronic
Brandon Boyd - Runaway Train,Brandon Boyd,other
Eels - Fresh Blood,Eels,rock
I Hate Everyone - Get Set Go,Get Set Go,pop
Celldweller - Eon,Celldweller,rock
"Babylon" by Don Mclean,Don McLean,pop
Call It What You Want - Foster The People,Foster The People,pop
The Temper Trap - Fader,The Temper Trap,dance
Silversun Pickups- Lazy Eye,Silversun Pickups,rock
Moriarty - Jimmy,Moriarty,pop
The Darkness - I Believe In A Thing Called Love,The Darkness,rock
Dozer- From fire fell,Dozer,rock
Dumas - J'erre,Dumas,pop
In the House In a Heartbeat - John Murphy,John Murphy,soundtrack
Failure- Undone,Failure,rock
A Perfect Circle - Passive,A Perfect Circle,rock
Quicksand - Dine Alone,Quicksand,rock
The Cure - Killing an arab,The Cure,rock
The Sisters of Mercy - More,Various Artists,other
Dead Or Alive - Something in My House,Dead Or Alive,rock
Sia - Breathe Me,Sia,dance
Frederic Chopin - Nocturne In E Flat Major Op.9 No.2,Frédéric Chopin,classic
Mozart - Requiem,Nikolaus Harnoncourt,classic
Modest Mouse-Bukowski,Modest Mouse,rock
A Perfect Circle - Passive,A Perfect Circle,rock
City and Colour - As Much As I Ever Could,City and Colour,folk
Louis Armstrong - A Kiss to Build a Dream On,Louis Armstrong,jazz
Lights - The Listening,Lights,folk
The Gathering - Frail,The Gathering,rock
alt-J (∆) Breezeblocks,alt-J,rock
Eyes - Rogue Wave,Rogue Wave,pop
