Vivaldi - Spring,Black Violin,pop
Hamburg Song - Keane,Keane,rock
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),DJ Cover This,other
Devendra Banhart / Cripple Crow,Devendra Banhart,folk
Demons - Imagine Dragons,Imagine Dragons,rock
Demons - Imagine Dragons,Imagine Dragons,rock
Alex Clare - Hummingbird,Alex Clare,rock
Crystal Castles - Birds,Crystal Castles,dance
Massive Attack - Unfinished Sympathy,Massive Attack,electronic
Azam Ali - I'm a stranger in this world,Azam Ali,folk
Yeah Yeah Yeahs - Rockers To Swallow,Yeah Yeah Yeahs,dance
Massive Attack - Inertia Creeps,Massive Attack,electronic
Amy Winehouse - Wake Up Alone,Amy Winehouse,jazz
Massive Attack - Five Man Army,Massive Attack,electronic
M.I.A.-Amazon,M.I.A.,pop
Howl - Florence And The Machine,Florence + The Machine,pop
Bonobo - Kong,Bonobo,electronic
Massive Attack - Group Four,Massive Attack,electronic
Chopin-Etude no. 7 in C sharp minor Op. 25 no. 7 "Cello",Frédéric Chopin,classic
Noisettes - Every Now And Then,Noisettes,jazz
[Flying Lotus] RobertaFlack,Flying Lotus,hip hop
Dissolved Girl - Massive Attack,Massive Attack,electronic
Banks - Warm Water (Snakehips Remix),BANKS,r&b
Mogwai - The sun smells too loud,Mogwai,rock
Tokio Hotel - Ready Set Go!,Tokio Hotel,rock
Cinema Bizarre - Lovesongs (They Kill Me),Cinema Bizarre,rock
Lesley Gore - It's my party,Lesley Gore,pop
Tammy Wynette - Divorce,Hit Crew Masters,other
Dierks Bentley - How Am i Doin',Dierks Bentley,rock
Cat Power- The Greatest,Cat Power,folk
Cherokee - Take Care Of You,Cherokee,dance
Freddie Joachim - Close Love,Freddie Joachim,hip hop
The Cosmic Game: Thievery Corporation,Thievery Corporation,electronic
Beach House - Heart of Chambers,Beach House,pop
Deadbeats - Funky for You,Various Artists,other
Pixies - La La Love You,Pixies,rock
Vanilla - Tomorrow,Vanilla,hip hop
Shakira - Antologia,Shakira,pop
Player - Baby Come Back,Groove Armada,dance
Genres:
rock,9
hip hop,3
pop,6
electronic,7
r&b,1
dance,4
folk,3
jazz,2
classic,1
soundtrack,0
other,3
