Kate Bush - The Sensual World,Kate Bush,pop
Atreyu - Shameful,Atreyu,rock
Regina Spektor - Two Birds,Regina Spektor,pop
Joe Pug - Hymn #101,Joe Pug,folk
AWOLNATION - Sail,AWOLNATION,rock
Escape The Fate - Situations,Escape the Fate,rock
Speak Easy- 311,311,rock
proleteR - April Showers,Proleter,electronic
Fiona Apple - Why Try To Change Me Now,Various Artists,other
Goo Goo Dolls - Black Balloon,The Goo Goo Dolls,rock
The Strokes - The Modern Age,The Strokes,rock
The Black Keys - Sister,The Black Keys,rock
Florence + The Machine - No Light No Light,Florence + The Machine,pop
Dessine-moi. Corinne Hermès.,Corinne Hermes,classic
Raphael - Caravane,Radar,other
Andy you're a star The Killers,The Killers,rock
The Fugees-Killing Me Softly,Q. Smalls,other
The Fugees - Ready Or Not,Carlton Carvalho,hip hop
deadmau5 - Some Chords,deadmau5,electronic
Rihanna - Skin,Rihanna,pop
Evanescence-Lost In Paradise,Evanescence,rock
The Police - Roxanne,The Police,rock
Florence + The Machine - Shake It Out,Florence + The Machine,pop
Portishead - Roads,Portishead,electronic
Chet Baker - But Not For Me,Chet Baker,jazz
Pink Floyd - Pigs (Three Different Ones),Pink Floyd,rock
This Will Destroy You - They Move On Tracks Of Never-ending Light,This Will Destroy You,rock
Pink Floyd - Careful With That Axe Eugene,Pink Floyd,rock
Mogwai - Take me somewhere nice,Mogwai,rock
Dinah Washington - "This Bitter Earth",Dinah Washington,jazz
Lullaby-Sia,Sia,dance
Chet Baker - But Not For Me,Chet Baker,jazz
Evanescence - Good Enough,Evanescence,rock
Within Temptation - Stand My Ground,Within Temptation,rock
EZ3kiel - Versus,Ez3kiel,electronic
Gorillaz Slow Country,Gorillaz,hip hop
Russian Circles - Xavii,Russian Circles,rock
Sigur Ros - Untitled #8,Sigur Rós,pop
Tycho-Adrift,Tycho,dance
Explosions in the Sky - Have You Passed Through This Night,Explosions In The Sky,rock
Grizzly Bear - Sleeping Ute,Grizzly Bear,dance
Bon Iver - Perth,Bon Iver,folk
Don Caballero - Ones All Over The Place,Don Caballero,rock
Mouse on the keys - Spectres de Mouse,mouse on the keys,rock
Sun Ra - Saturn,Sun Ra,rock
Sigur Rós - Andvari,Sigur Rós,pop
Year of No Light - Perséphone,Year Of No Light,rock
Santana - While My Guitar Gently Weeps,Santana,rock
Pink Floyd - Eclipse,Pink Floyd,rock
Ween - Mutilated Lips,Ween,rock
Fleet Foxes -  Helplessness Blues,Fleet Foxes,pop
Bon Iver - Blood Bank,Bon Iver,folk
Lighthouse Family - High,Lighthouse Family,pop
Bon Iver - Flume,Bon Iver,folk
Fiona Apple - "Across The Universe",Various Artists,other
JULIAN SMITH - Eat Randy,Julian Smith,pop
Moonlight Sonata [Remix],Blue Claw Philharmonic,other
Social Distortion - Far Behind,Social Distortion,rock
Take Care Of Yourself - Teddy Thompson,Teddy Thompson,folk
Samuel Barber - Adagio for Strings,Leonard Bernstein,classic
Boards of Canada - Everything You Do is a Balloon,Boards of Canada,electronic
Depeche mode - Precious,Depeche Mode,rock
Apparitions - Matthew Good Band,Matthew Good Band,rock
More - Parabelle,Songs of the Folk,other
boards of canada - roygbiv,Boards of Canada,electronic
Boards of Canada - Everything You Do is a Balloon,Boards of Canada,electronic
Pearl Jam - Alive,Pearl Jam,rock
Moonlight Sonata,Various Artists,other
Stars - Your Ex-Lover Is Dead,Stars,pop
Vitas - The Star,Vitas,hip hop
Cecilia Bartoli-Lascia ch'io pianga,Cecilia Bartoli,classic
Pachelbel's Canon,Danny Wright,pop
Starfucker - Girls just want to have fun,STRFKR,dance
Breathe - Télépopmusik,Télépopmusik,electronic
Sister Sledge - He's The Greatest Dancer,Sister Sledge,pop
Becoming a Geisha- Memoirs of a Geisha Soundtrack,John Williams,soundtrack
The Middle East - Blood,The Middle East,folk
The Middle East - Blood,The Middle East,folk
Beirut - My Wife Lost In The Wild,Beirut,pop
Sigur Rós - Hoppípolla,Sigur Rós,pop
Nada Surf "Beautiful Beat",Nada Surf,pop
Ayria- Lovely Day,Ayria,electronic
Edvard Grieg In the Hall of the Mountain King from "Peer Gynt",Edvard Grieg,classic
Genres:
rock,29
hip hop,3
pop,16
electronic,9
r&b,0
dance,4
folk,7
jazz,3
classic,4
soundtrack,1
other,7
